value,cdf
157.665614,0
157.665614,0.01
168.245809,0.01
168.245809,0.02
171.280992,0.02
171.280992,0.03
171.323935,0.03
171.323935,0.04
171.517608,0.04
171.517608,0.05
173.391795,0.05
173.391795,0.060000000000000005
173.497624,0.060000000000000005
173.497624,0.07
173.586415,0.07
173.586415,0.08
173.610571,0.08
173.610571,0.09
173.738229,0.09
173.738229,0.09999999999999999
173.760503,0.09999999999999999
173.760503,0.10999999999999999
174.253532,0.10999999999999999
174.253532,0.11999999999999998
174.259679,0.11999999999999998
174.259679,0.12999999999999998
174.288638,0.12999999999999998
174.288638,0.13999999999999999
174.331432,0.13999999999999999
174.331432,0.15
174.333583,0.15
174.333583,0.16
174.354774,0.16
174.354774,0.17
174.421061,0.17
174.421061,0.18000000000000002
174.599016,0.18000000000000002
174.599016,0.19000000000000003
174.716875,0.19000000000000003
174.716875,0.20000000000000004
175.48219,0.20000000000000004
175.48219,0.21000000000000005
175.656465,0.21000000000000005
175.656465,0.22000000000000006
175.971316,0.22000000000000006
175.971316,0.23000000000000007
176.319464,0.23000000000000007
176.319464,0.24000000000000007
176.433714,0.24000000000000007
176.433714,0.25000000000000006
176.471562,0.25000000000000006
176.471562,0.26000000000000006
176.569233,0.26000000000000006
176.569233,0.2700000000000001
176.654412,0.2700000000000001
176.654412,0.2800000000000001
176.6912,0.2800000000000001
176.6912,0.2900000000000001
176.695916,0.2900000000000001
176.695916,0.3000000000000001
176.698493,0.3000000000000001
176.698493,0.3100000000000001
176.989675,0.3100000000000001
176.989675,0.3200000000000001
177.017264,0.3200000000000001
177.017264,0.3300000000000001
177.374133,0.3300000000000001
177.374133,0.34000000000000014
177.511085,0.34000000000000014
177.511085,0.35000000000000014
177.561105,0.35000000000000014
177.561105,0.36000000000000015
177.564256,0.36000000000000015
177.564256,0.37000000000000016
177.614755,0.37000000000000016
177.614755,0.38000000000000017
177.652215,0.38000000000000017
177.652215,0.3900000000000002
177.794387,0.3900000000000002
177.794387,0.4000000000000002
177.857421,0.4000000000000002
177.857421,0.4100000000000002
178.001107,0.4100000000000002
178.001107,0.4200000000000002
178.022978,0.4200000000000002
178.022978,0.4300000000000002
178.165034,0.4300000000000002
178.165034,0.4400000000000002
178.314202,0.4400000000000002
178.314202,0.45000000000000023
178.555934,0.45000000000000023
178.555934,0.46000000000000024
178.595696,0.46000000000000024
178.595696,0.47000000000000025
178.59711,0.47000000000000025
178.59711,0.48000000000000026
178.603514,0.48000000000000026
178.603514,0.49000000000000027
178.613406,0.49000000000000027
178.613406,0.5000000000000002
178.638695,0.5000000000000002
178.638695,0.5100000000000002
178.672756,0.5100000000000002
178.672756,0.5200000000000002
179.104899,0.5200000000000002
179.104899,0.5300000000000002
179.151937,0.5300000000000002
179.151937,0.5400000000000003
179.190383,0.5400000000000003
179.190383,0.5500000000000003
179.444461,0.5500000000000003
179.444461,0.5600000000000003
179.465484,0.5600000000000003
179.465484,0.5700000000000003
179.477713,0.5700000000000003
179.477713,0.5800000000000003
179.614666,0.5800000000000003
179.614666,0.5900000000000003
180.564154,0.5900000000000003
180.564154,0.6000000000000003
180.584136,0.6000000000000003
180.584136,0.6100000000000003
180.600161,0.6100000000000003
180.600161,0.6200000000000003
180.61232,0.6200000000000003
180.61232,0.6300000000000003
180.826912,0.6300000000000003
180.826912,0.6400000000000003
181.137191,0.6400000000000003
181.137191,0.6500000000000004
181.415752,0.6500000000000004
181.415752,0.6600000000000004
181.598333,0.6600000000000004
181.598333,0.6700000000000004
181.787828,0.6700000000000004
181.787828,0.6800000000000004
182.227635,0.6800000000000004
182.227635,0.6900000000000004
182.531195,0.6900000000000004
182.531195,0.7000000000000004
182.535214,0.7000000000000004
182.535214,0.7100000000000004
182.545337,0.7100000000000004
182.545337,0.7200000000000004
183.097916,0.7200000000000004
183.097916,0.7300000000000004
183.68853,0.7300000000000004
183.68853,0.7400000000000004
183.869565,0.7400000000000004
183.869565,0.7500000000000004
183.892259,0.7500000000000004
183.892259,0.7600000000000005
184.001438,0.7600000000000005
184.001438,0.7700000000000005
184.085128,0.7700000000000005
184.085128,0.7800000000000005
185.068905,0.7800000000000005
185.068905,0.7900000000000005
185.180872,0.7900000000000005
185.180872,0.8000000000000005
185.238043,0.8000000000000005
185.238043,0.8100000000000005
186.880989,0.8100000000000005
186.880989,0.8200000000000005
187.184791,0.8200000000000005
187.184791,0.8300000000000005
187.422842,0.8300000000000005
187.422842,0.8400000000000005
187.818359,0.8400000000000005
187.818359,0.8500000000000005
188.781063,0.8500000000000005
188.781063,0.8600000000000005
192.292421,0.8600000000000005
192.292421,0.8700000000000006
194.30361,0.8700000000000006
194.30361,0.8800000000000006
194.462221,0.8800000000000006
194.462221,0.8900000000000006
195.930769,0.8900000000000006
195.930769,0.9000000000000006
196.900674,0.9000000000000006
196.900674,0.9100000000000006
198.284609,0.9100000000000006
198.284609,0.9200000000000006
198.655464,0.9200000000000006
198.655464,0.9300000000000006
206.675082,0.9300000000000006
206.675082,0.9400000000000006
208.7131,0.9400000000000006
208.7131,0.9500000000000006
209.752975,0.9500000000000006
209.752975,0.9600000000000006
248.087421,0.9600000000000006
248.087421,0.9700000000000006
262.74639,0.9700000000000006
262.74639,0.9800000000000006
264.442085,0.9800000000000006
264.442085,0.9900000000000007
271.691165,0.9900000000000007
271.691165,1.0000000000000007
