value,cdf
56.0,0
56.0,0.01
58.0,0.01
58.0,0.02
62.0,0.02
62.0,0.03
69.0,0.03
69.0,0.04
72.0,0.04
72.0,0.05
75.0,0.05
75.0,0.060000000000000005
75.0,0.060000000000000005
75.0,0.07
80.0,0.07
80.0,0.08
83.0,0.08
83.0,0.09
83.0,0.09
83.0,0.09999999999999999
84.0,0.09999999999999999
84.0,0.10999999999999999
85.0,0.10999999999999999
85.0,0.11999999999999998
86.0,0.11999999999999998
86.0,0.12999999999999998
86.0,0.12999999999999998
86.0,0.13999999999999999
86.0,0.13999999999999999
86.0,0.15
88.0,0.15
88.0,0.16
89.0,0.16
89.0,0.17
89.0,0.17
89.0,0.18000000000000002
90.0,0.18000000000000002
90.0,0.19000000000000003
91.0,0.19000000000000003
91.0,0.20000000000000004
91.0,0.20000000000000004
91.0,0.21000000000000005
91.0,0.21000000000000005
91.0,0.22000000000000006
92.0,0.22000000000000006
92.0,0.23000000000000007
93.0,0.23000000000000007
93.0,0.24000000000000007
95.0,0.24000000000000007
95.0,0.25000000000000006
95.0,0.25000000000000006
95.0,0.26000000000000006
96.0,0.26000000000000006
96.0,0.2700000000000001
96.0,0.2700000000000001
96.0,0.2800000000000001
96.0,0.2800000000000001
96.0,0.2900000000000001
96.0,0.2900000000000001
96.0,0.3000000000000001
98.0,0.3000000000000001
98.0,0.3100000000000001
98.0,0.3100000000000001
98.0,0.3200000000000001
98.0,0.3200000000000001
98.0,0.3300000000000001
99.0,0.3300000000000001
99.0,0.34000000000000014
99.0,0.34000000000000014
99.0,0.35000000000000014
102.0,0.35000000000000014
102.0,0.36000000000000015
102.0,0.36000000000000015
102.0,0.37000000000000016
103.0,0.37000000000000016
103.0,0.38000000000000017
103.0,0.38000000000000017
103.0,0.3900000000000002
103.0,0.3900000000000002
103.0,0.4000000000000002
103.0,0.4000000000000002
103.0,0.4100000000000002
105.0,0.4100000000000002
105.0,0.4200000000000002
105.0,0.4200000000000002
105.0,0.4300000000000002
105.0,0.4300000000000002
105.0,0.4400000000000002
106.0,0.4400000000000002
106.0,0.45000000000000023
106.0,0.45000000000000023
106.0,0.46000000000000024
106.0,0.46000000000000024
106.0,0.47000000000000025
106.0,0.47000000000000025
106.0,0.48000000000000026
107.0,0.48000000000000026
107.0,0.49000000000000027
107.0,0.49000000000000027
107.0,0.5000000000000002
108.0,0.5000000000000002
108.0,0.5100000000000002
108.0,0.5100000000000002
108.0,0.5200000000000002
108.0,0.5200000000000002
108.0,0.5300000000000002
109.0,0.5300000000000002
109.0,0.5400000000000003
109.0,0.5400000000000003
109.0,0.5500000000000003
109.0,0.5500000000000003
109.0,0.5600000000000003
110.0,0.5600000000000003
110.0,0.5700000000000003
110.0,0.5700000000000003
110.0,0.5800000000000003
111.0,0.5800000000000003
111.0,0.5900000000000003
113.0,0.5900000000000003
113.0,0.6000000000000003
113.0,0.6000000000000003
113.0,0.6100000000000003
114.0,0.6100000000000003
114.0,0.6200000000000003
114.0,0.6200000000000003
114.0,0.6300000000000003
114.0,0.6300000000000003
114.0,0.6400000000000003
115.0,0.6400000000000003
115.0,0.6500000000000004
115.0,0.6500000000000004
115.0,0.6600000000000004
115.0,0.6600000000000004
115.0,0.6700000000000004
115.0,0.6700000000000004
115.0,0.6800000000000004
116.0,0.6800000000000004
116.0,0.6900000000000004
116.0,0.6900000000000004
116.0,0.7000000000000004
117.0,0.7000000000000004
117.0,0.7100000000000004
118.0,0.7100000000000004
118.0,0.7200000000000004
119.0,0.7200000000000004
119.0,0.7300000000000004
119.0,0.7300000000000004
119.0,0.7400000000000004
120.0,0.7400000000000004
120.0,0.7500000000000004
120.0,0.7500000000000004
120.0,0.7600000000000005
120.0,0.7600000000000005
120.0,0.7700000000000005
120.0,0.7700000000000005
120.0,0.7800000000000005
121.0,0.7800000000000005
121.0,0.7900000000000005
122.0,0.7900000000000005
122.0,0.8000000000000005
122.0,0.8000000000000005
122.0,0.8100000000000005
123.0,0.8100000000000005
123.0,0.8200000000000005
123.0,0.8200000000000005
123.0,0.8300000000000005
123.0,0.8300000000000005
123.0,0.8400000000000005
125.0,0.8400000000000005
125.0,0.8500000000000005
125.0,0.8500000000000005
125.0,0.8600000000000005
126.0,0.8600000000000005
126.0,0.8700000000000006
126.0,0.8700000000000006
126.0,0.8800000000000006
128.0,0.8800000000000006
128.0,0.8900000000000006
130.0,0.8900000000000006
130.0,0.9000000000000006
131.0,0.9000000000000006
131.0,0.9100000000000006
131.0,0.9100000000000006
131.0,0.9200000000000006
132.0,0.9200000000000006
132.0,0.9300000000000006
134.0,0.9300000000000006
134.0,0.9400000000000006
138.0,0.9400000000000006
138.0,0.9500000000000006
139.0,0.9500000000000006
139.0,0.9600000000000006
139.0,0.9600000000000006
139.0,0.9700000000000006
139.0,0.9700000000000006
139.0,0.9800000000000006
142.0,0.9800000000000006
142.0,0.9900000000000007
143.0,0.9900000000000007
143.0,1.0000000000000007
