value,cdf
0.068871,0
0.068871,0.01
0.070646,0.01
0.070646,0.02
0.070661,0.02
0.070661,0.03
0.070661,0.03
0.070661,0.04
0.070671,0.04
0.070671,0.05
0.070672,0.05
0.070672,0.060000000000000005
0.070675,0.060000000000000005
0.070675,0.07
0.070678,0.07
0.070678,0.08
0.070679,0.08
0.070679,0.09
0.070679,0.09
0.070679,0.09999999999999999
0.070679,0.09999999999999999
0.070679,0.10999999999999999
0.070681,0.10999999999999999
0.070681,0.11999999999999998
0.070681,0.11999999999999998
0.070681,0.12999999999999998
0.070683,0.12999999999999998
0.070683,0.13999999999999999
0.070685,0.13999999999999999
0.070685,0.15
0.070687,0.15
0.070687,0.16
0.070687,0.16
0.070687,0.17
0.070689,0.17
0.070689,0.18000000000000002
0.070691,0.18000000000000002
0.070691,0.19000000000000003
0.070692,0.19000000000000003
0.070692,0.20000000000000004
0.074228,0.20000000000000004
0.074228,0.21000000000000005
0.074295,0.21000000000000005
0.074295,0.22000000000000006
0.074353,0.22000000000000006
0.074353,0.23000000000000007
0.074354,0.23000000000000007
0.074354,0.24000000000000007
0.074356,0.24000000000000007
0.074356,0.25000000000000006
0.077905,0.25000000000000006
0.077905,0.26000000000000006
0.077983,0.26000000000000006
0.077983,0.2700000000000001
0.078023,0.2700000000000001
0.078023,0.2800000000000001
0.081689,0.2800000000000001
0.081689,0.2900000000000001
0.0817,0.2900000000000001
0.0817,0.3000000000000001
0.081707,0.3000000000000001
0.081707,0.3100000000000001
0.085189,0.3100000000000001
0.085189,0.3200000000000001
0.085352,0.3200000000000001
0.085352,0.3300000000000001
0.085355,0.3300000000000001
0.085355,0.34000000000000014
0.087126,0.34000000000000014
0.087126,0.35000000000000014
0.088302,0.35000000000000014
0.088302,0.36000000000000015
0.090754,0.36000000000000015
0.090754,0.37000000000000016
0.092474,0.37000000000000016
0.092474,0.38000000000000017
0.092925,0.38000000000000017
0.092925,0.3900000000000002
0.09426,0.3900000000000002
0.09426,0.4000000000000002
0.094404,0.4000000000000002
0.094404,0.4100000000000002
0.094415,0.4100000000000002
0.094415,0.4200000000000002
0.095676,0.4200000000000002
0.095676,0.4300000000000002
0.09598,0.4300000000000002
0.09598,0.4400000000000002
0.096002,0.4400000000000002
0.096002,0.45000000000000023
0.096013,0.45000000000000023
0.096013,0.46000000000000024
0.096079,0.46000000000000024
0.096079,0.47000000000000025
0.096283,0.47000000000000025
0.096283,0.48000000000000026
0.09629,0.48000000000000026
0.09629,0.49000000000000027
0.096327,0.49000000000000027
0.096327,0.5000000000000002
0.096344,0.5000000000000002
0.096344,0.5100000000000002
0.09635,0.5100000000000002
0.09635,0.5200000000000002
0.096356,0.5200000000000002
0.096356,0.5300000000000002
0.096807,0.5300000000000002
0.096807,0.5400000000000003
0.096885,0.5400000000000003
0.096885,0.5500000000000003
0.096911,0.5500000000000003
0.096911,0.5600000000000003
0.09694,0.5600000000000003
0.09694,0.5700000000000003
0.096979,0.5700000000000003
0.096979,0.5800000000000003
0.097023,0.5800000000000003
0.097023,0.5900000000000003
0.097132,0.5900000000000003
0.097132,0.6000000000000003
0.097299,0.6000000000000003
0.097299,0.6100000000000003
0.097434,0.6100000000000003
0.097434,0.6200000000000003
0.097434,0.6200000000000003
0.097434,0.6300000000000003
0.09749,0.6300000000000003
0.09749,0.6400000000000003
0.0981,0.6400000000000003
0.0981,0.6500000000000004
0.098201,0.6500000000000004
0.098201,0.6600000000000004
0.098204,0.6600000000000004
0.098204,0.6700000000000004
0.099019,0.6700000000000004
0.099019,0.6800000000000004
0.099281,0.6800000000000004
0.099281,0.6900000000000004
0.099372,0.6900000000000004
0.099372,0.7000000000000004
0.099747,0.7000000000000004
0.099747,0.7100000000000004
0.099912,0.7100000000000004
0.099912,0.7200000000000004
0.100086,0.7200000000000004
0.100086,0.7300000000000004
0.100112,0.7300000000000004
0.100112,0.7400000000000004
0.100422,0.7400000000000004
0.100422,0.7500000000000004
0.100449,0.7500000000000004
0.100449,0.7600000000000005
0.100502,0.7600000000000005
0.100502,0.7700000000000005
0.100815,0.7700000000000005
0.100815,0.7800000000000005
0.100831,0.7800000000000005
0.100831,0.7900000000000005
0.101184,0.7900000000000005
0.101184,0.8000000000000005
0.102316,0.8000000000000005
0.102316,0.8100000000000005
0.102412,0.8100000000000005
0.102412,0.8200000000000005
0.102454,0.8200000000000005
0.102454,0.8300000000000005
0.102522,0.8300000000000005
0.102522,0.8400000000000005
0.102828,0.8400000000000005
0.102828,0.8500000000000005
0.102934,0.8500000000000005
0.102934,0.8600000000000005
0.103693,0.8600000000000005
0.103693,0.8700000000000006
0.103701,0.8700000000000006
0.103701,0.8800000000000006
0.103772,0.8800000000000006
0.103772,0.8900000000000006
0.103894,0.8900000000000006
0.103894,0.9000000000000006
0.104763,0.9000000000000006
0.104763,0.9100000000000006
0.104948,0.9100000000000006
0.104948,0.9200000000000006
0.105889,0.9200000000000006
0.105889,0.9300000000000006
0.11042,0.9300000000000006
0.11042,0.9400000000000006
0.112681,0.9400000000000006
0.112681,0.9500000000000006
0.114285,0.9500000000000006
0.114285,0.9600000000000006
0.11445,0.9600000000000006
0.11445,0.9700000000000006
0.115723,0.9700000000000006
0.115723,0.9800000000000006
0.128213,0.9800000000000006
0.128213,0.9900000000000007
0.201881,0.9900000000000007
0.201881,1.0000000000000007
