value,cdf
1.103627,0
1.103627,0.01
1.129816,0.01
1.129816,0.02
1.12985,0.02
1.12985,0.03
1.136285,0.03
1.136285,0.04
1.138698,0.04
1.138698,0.05
1.142331,0.05
1.142331,0.060000000000000005
1.146742,0.060000000000000005
1.146742,0.07
1.148156,0.07
1.148156,0.08
1.149485,0.08
1.149485,0.09
1.151998,0.09
1.151998,0.09999999999999999
1.15242,0.09999999999999999
1.15242,0.10999999999999999
1.154752,0.10999999999999999
1.154752,0.11999999999999998
1.155576,0.11999999999999998
1.155576,0.12999999999999998
1.159456,0.12999999999999998
1.159456,0.13999999999999999
1.160579,0.13999999999999999
1.160579,0.15
1.165624,0.15
1.165624,0.16
1.174042,0.16
1.174042,0.17
1.174237,0.17
1.174237,0.18000000000000002
1.175535,0.18000000000000002
1.175535,0.19000000000000003
1.177119,0.19000000000000003
1.177119,0.20000000000000004
1.177507,0.20000000000000004
1.177507,0.21000000000000005
1.180627,0.21000000000000005
1.180627,0.22000000000000006
1.186414,0.22000000000000006
1.186414,0.23000000000000007
1.187838,0.23000000000000007
1.187838,0.24000000000000007
1.187923,0.24000000000000007
1.187923,0.25000000000000006
1.193645,0.25000000000000006
1.193645,0.26000000000000006
1.197804,0.26000000000000006
1.197804,0.2700000000000001
1.205197,0.2700000000000001
1.205197,0.2800000000000001
1.20604,0.2800000000000001
1.20604,0.2900000000000001
1.211364,0.2900000000000001
1.211364,0.3000000000000001
1.212999,0.3000000000000001
1.212999,0.3100000000000001
1.213333,0.3100000000000001
1.213333,0.3200000000000001
1.216261,0.3200000000000001
1.216261,0.3300000000000001
1.220453,0.3300000000000001
1.220453,0.34000000000000014
1.224461,0.34000000000000014
1.224461,0.35000000000000014
1.224538,0.35000000000000014
1.224538,0.36000000000000015
1.224768,0.36000000000000015
1.224768,0.37000000000000016
1.224848,0.37000000000000016
1.224848,0.38000000000000017
1.2267,0.38000000000000017
1.2267,0.3900000000000002
1.226876,0.3900000000000002
1.226876,0.4000000000000002
1.229024,0.4000000000000002
1.229024,0.4100000000000002
1.230345,0.4100000000000002
1.230345,0.4200000000000002
1.233802,0.4200000000000002
1.233802,0.4300000000000002
1.23427,0.4300000000000002
1.23427,0.4400000000000002
1.238192,0.4400000000000002
1.238192,0.45000000000000023
1.239415,0.45000000000000023
1.239415,0.46000000000000024
1.23956,0.46000000000000024
1.23956,0.47000000000000025
1.242053,0.47000000000000025
1.242053,0.48000000000000026
1.243242,0.48000000000000026
1.243242,0.49000000000000027
1.243569,0.49000000000000027
1.243569,0.5000000000000002
1.248106,0.5000000000000002
1.248106,0.5100000000000002
1.248169,0.5100000000000002
1.248169,0.5200000000000002
1.252344,0.5200000000000002
1.252344,0.5300000000000002
1.252689,0.5300000000000002
1.252689,0.5400000000000003
1.252718,0.5400000000000003
1.252718,0.5500000000000003
1.256874,0.5500000000000003
1.256874,0.5600000000000003
1.258884,0.5600000000000003
1.258884,0.5700000000000003
1.259748,0.5700000000000003
1.259748,0.5800000000000003
1.26128,0.5800000000000003
1.26128,0.5900000000000003
1.261717,0.5900000000000003
1.261717,0.6000000000000003
1.262285,0.6000000000000003
1.262285,0.6100000000000003
1.264937,0.6100000000000003
1.264937,0.6200000000000003
1.266105,0.6200000000000003
1.266105,0.6300000000000003
1.267396,0.6300000000000003
1.267396,0.6400000000000003
1.270234,0.6400000000000003
1.270234,0.6500000000000004
1.271266,0.6500000000000004
1.271266,0.6600000000000004
1.280802,0.6600000000000004
1.280802,0.6700000000000004
1.282207,0.6700000000000004
1.282207,0.6800000000000004
1.288322,0.6800000000000004
1.288322,0.6900000000000004
1.288648,0.6900000000000004
1.288648,0.7000000000000004
1.288902,0.7000000000000004
1.288902,0.7100000000000004
1.293221,0.7100000000000004
1.293221,0.7200000000000004
1.295445,0.7200000000000004
1.295445,0.7300000000000004
1.296039,0.7300000000000004
1.296039,0.7400000000000004
1.297009,0.7400000000000004
1.297009,0.7500000000000004
1.299295,0.7500000000000004
1.299295,0.7600000000000005
1.30274,0.7600000000000005
1.30274,0.7700000000000005
1.3031,0.7700000000000005
1.3031,0.7800000000000005
1.306506,0.7800000000000005
1.306506,0.7900000000000005
1.30817,0.7900000000000005
1.30817,0.8000000000000005
1.311747,0.8000000000000005
1.311747,0.8100000000000005
1.314017,0.8100000000000005
1.314017,0.8200000000000005
1.315496,0.8200000000000005
1.315496,0.8300000000000005
1.315767,0.8300000000000005
1.315767,0.8400000000000005
1.315853,0.8400000000000005
1.315853,0.8500000000000005
1.319731,0.8500000000000005
1.319731,0.8600000000000005
1.320283,0.8600000000000005
1.320283,0.8700000000000006
1.320512,0.8700000000000006
1.320512,0.8800000000000006
1.324387,0.8800000000000006
1.324387,0.8900000000000006
1.324629,0.8900000000000006
1.324629,0.9000000000000006
1.325346,0.9000000000000006
1.325346,0.9100000000000006
1.329196,0.9100000000000006
1.329196,0.9200000000000006
1.343283,0.9200000000000006
1.343283,0.9300000000000006
1.346397,0.9300000000000006
1.346397,0.9400000000000006
1.356341,0.9400000000000006
1.356341,0.9500000000000006
1.356578,0.9500000000000006
1.356578,0.9600000000000006
1.357534,0.9600000000000006
1.357534,0.9700000000000006
1.388523,0.9700000000000006
1.388523,0.9800000000000006
1.393181,0.9800000000000006
1.393181,0.9900000000000007
1.39323,0.9900000000000007
1.39323,1.0000000000000007
